store_id,big_mac_price
1510,6.0
1512,6.0
1513,5.8
1514,5.4
1515,6.2
1516,5.7
1517,5.75
1518,5.5
1519,5.5
152,5.4
1520,5.1
1521,5.4
1522,5.8
1523,5.8
1524,5.8
1525,5.9
1527,5.5
1528,6.0
1529,6.0
1530,5.9
1531,5.8
1532,5.8
1533,5.2
1534,5.5
1535,5.95
1536,6.7
1537,5.8
1538,5.9
1539,5.7
154,5.8
1540,5.8
1541,5.1
1542,5.3
1543,6.45
1544,5.4
1545,5.3
1546,5.8
1547,5.5
1548,5.4
1549,5.7
155,5.3
1550,5.3
1551,5.7
1552,5.5
1553,5.8
1554,5.5
1555,5.6
1556,5.25
1558,5.9
1559,5.9
156,5.6
1560,5.3
1561,4.95
1563,6.0
1564,6.0
1565,5.9
1566,5.5
1567,5.7
1568,5.4
1569,5.8
157,5.6
1570,5.6
1571,5.8
1572,5.5
1573,6.0
1574,5.8
1575,5.4
1576,5.3
1577,5.5
1578,5.4
1579,5.3
158,4.9
1580,5.8
1581,5.1
1582,5.6
1583,6.1
1584,5.75
1585,5.6
1586,6.1
1587,5.7
1588,5.7
1589,4.95
159,5.5
1590,5.6
1591,6.5
1592,5.7
1593,6.0
1594,5.6
1595,5.3
1596,5.3
1597,6.5
1598,5.9
1599,5.65
16,5.5
160,5.7
1600,5.35
1601,5.45
1602,5.8
1603,5.6
1604,5.3
1605,5.4
1606,5.4
1607,5.7
1608,5.5
1609,6.0
161,6.2
1610,5.5
1611,6.0
1612,6.5
1613,5.9
1614,5.3
1615,5.8
1616,5.7
1617,5.5
1618,5.8
1619,5.4
162,5.2
1620,5.8
1621,5.3
1622,5.5
1623,5.3
1624,6.0
1625,5.5
1626,5.9
1627,6.0
1628,5.7
1629,5.6
163,5.5
1630,5.7
1631,6.0
1632,6.4
1633,5.8
1634,5.7
1635,5.6
1636,5.7
1637,5.95
1638,5.8
1639,5.5
164,5.8
1640,5.5
1641,5.8
1642,5.0
1643,5.6
1644,5.9
1645,5.7
1646,5.5
1647,5.8
1648,5.9
1649,5.95
165,5.5
1650,5.7
1651,5.75
1652,5.4
1653,5.6
1654,5.8
1655,5.5
1656,5.7
1657,5.4
1658,5.7
1659,5.3
166,5.5
1660,5.7
1661,5.4
1662,5.95
1663,6.9
1665,5.8
1666,5.6
1667,5.3
1668,5.5
1669,6.25
167,4.95
